4902	78846800
4912	78869120
4922	78891360
4932	78913520
4942	78935608
4952	78957624
4962	78979560
4972	79001424
4982	79023216
4992	79044936
5002	79066584
5012	79088152
5022	79109656
5032	79131080
5042	79152536
5052	79173800
5062	79195024
5072	79216176
5082	79237264
5092	79258304
5102	79279256
5112	79300136
5122	79320952
5132	79341712
5142	79362400
5152	79383040
5162	79403608
5172	79424112
5182	79444544
5192	79464920
5202	79485232
5212	79505480
5222	79525664
5232	79545784
5242	79565848
5252	79585840
5262	79605792
5272	79624840
5282	79643832
5292	79662784
5302	79681712
5312	79700376
5322	79718832
5332	79737288
5342	79755752
5352	79774224
5362	79792696
5372	79811168
5382	79829648
5392	79848128
5402	79866608
5412	79885088
5422	79903576
5432	79922056
5442	79940536
5452	79959112
5462	79977488
5472	79995856
5482	80014328
5492	80032760
5502	80051112
5512	80069480
